dataset_id,image_path,filename,label,group_id,plant_id,dataset_rel_path,label_source,view,width,height,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,contrast,entropy,sharpness,dark_ratio,bright_ratio,sha256,split,source_status
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241213_10_00.jpg,ryb_C1_20241213_10_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,250.0295,250.1526,250.5514,24.7887,24.3755,22.4668,249.6546,24.2659,0.6447,11.9223,0.0,0.952,f73ca91a834c67ef4d3aa6062f9a2cb72e7d674b0313677352a0d48a81cb1fd5,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241213_11_00.jpg,ryb_C1_20241213_11_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.9918,250.0754,250.289,24.8995,24.6387,23.5195,249.5634,24.5757,0.6346,12.0251,0.0,0.9517,2629c3c76498b88f080caa60e1a1d049d6ca8443417a0929c6d5d8d21612fb0c,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241213_12_00.jpg,ryb_C1_20241213_12_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.9075,249.9933,250.2174,25.3114,25.0207,23.9246,249.487,24.97,0.6893,12.417,0.0,0.9522,cf03e1eb211da70bcd478a1b03e10acf5529e23b8491a89a607a9da3b38cb32b,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241213_13_00.jpg,ryb_C1_20241213_13_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.7337,249.8172,249.9489,25.8514,25.5849,24.7319,249.298,25.5525,0.6493,12.9449,0.0,0.9511,0ea66c0f7738fc1aad7370ab0eb9f73cf9302b887dcaf422ac30630543f17561,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241213_14_00.jpg,ryb_C1_20241213_14_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.8633,249.914,249.9949,25.6699,25.5568,24.8492,249.3954,25.4956,0.6443,13.1946,0.0,0.9525,d3aba871f5e0f08389a7160db196d537d2d1c3538b58deebe696eb95deba1b38,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241213_15_00.jpg,ryb_C1_20241213_15_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.7761,249.8415,249.8955,25.8362,25.6755,25.1244,249.3133,25.6502,0.6499,12.6183,0.0,0.9518,3546a7756fd1ce9ac1fbcd59aa8885cd604e1181d82bfb85e8e22328ae8f68bd,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241213_16_00.jpg,ryb_C1_20241213_16_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,246.9058,247.3286,248.1661,30.5159,29.9743,28.4833,246.9257,29.9528,1.7976,11.0237,0.0,0.948,1f712b98133edb19de2237ba54837f5bea5547b8a2db964430f0f8b68a382139,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241213_17_00.jpg,ryb_C1_20241213_17_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.1654,249.1871,249.4253,28.0487,28.0291,26.8134,248.6978,27.8866,0.6838,13.6274,0.0,0.9504,973b91b33c1ac9a1ce8c9e0776fa4cce3d444aad575e5a5476cea5175875f083,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241214_08_00.jpg,ryb_C1_20241214_08_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.4071,249.6476,250.0969,26.8066,25.9603,23.9179,249.1173,25.9676,0.6848,14.1036,0.0,0.9496,be604d81cbb15bcd916ff854c790f6ae380b2ddba55f20c9fc8852302b81a4cf,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241214_09_00.jpg,ryb_C1_20241214_09_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,232.3146,236.3621,242.0156,37.0865,34.3072,30.2442,235.5857,34.5451,4.0043,10.0172,0.0,0.8236,2efd1b4bc7048ea9230b6442883c52883d3c59bd497e53b35e15760b9122f5ee,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241214_10_00.jpg,ryb_C1_20241214_10_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.4173,248.6143,249.2037,29.9162,29.3697,27.1927,248.1223,29.2721,0.8006,16.7916,0.0,0.9482,aa789157f5e9c3a26dcdfb8b7df6414579ef6df052ddd5886d754722d2d4cd7d,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241214_11_00.jpg,ryb_C1_20241214_11_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.1813,249.2417,249.4181,27.6236,27.4279,26.5428,248.7418,27.374,0.7476,15.6706,0.0,0.9501,1d4e926b5e6c48d9b84e7622709765cd16cf2591d52323d23908601e6ad0f5b9,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241214_12_00.jpg,ryb_C1_20241214_12_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.785,249.7915,249.8975,25.6039,25.6167,24.929,249.2977,25.5207,0.7283,13.9731,0.0,0.951,6a554b46e427ce73a85a4ea0a1ac95503260e5a0dd384ff4df3c203159d7b5d6,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241214_13_00.jpg,ryb_C1_20241214_13_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,250.3812,250.4485,250.5652,23.5638,23.4409,22.59,249.9323,23.3593,0.6653,13.4423,0.0,0.9542,77a3997e76cc5d0f6042513d59b9769b591042b58e74e50779eb1a5c89f4211c,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241214_14_00.jpg,ryb_C1_20241214_14_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.9566,250.0084,250.1125,25.2437,25.09,24.3615,249.4989,25.0383,0.6612,13.4697,0.0,0.9526,6b418fcf307b129efc46d6034a1f1ea78f738e1d46e74e19a77d93a28c8785c9,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241214_15_00.jpg,ryb_C1_20241214_15_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.1473,249.1852,249.3845,27.8545,27.7793,26.706,248.6963,27.671,0.7906,14.1406,0.0,0.9507,5018c46cd9e7d5a025d649ae10668424dac80af14017431988957362808591be,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241214_16_00.jpg,ryb_C1_20241214_16_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.9201,248.9889,249.2211,28.5631,28.4366,27.2674,248.49,28.3298,0.78,14.1158,0.0,0.9496,875f71af8407c3bc9648aaa26d7fca6dd621736159a173bfdc048a7bcb5b472b,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241214_17_00.jpg,ryb_C1_20241214_17_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.7651,249.0153,249.431,29.2176,28.4314,26.7085,248.4867,28.4569,0.7658,15.2069,0.0,0.9496,877b69fe9a168b1ebf0582fcde57ff24647531834194e5f0ca784ad4ab2a987d,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241215_08_00.jpg,ryb_C1_20241215_08_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.1495,249.5149,249.8479,27.5032,26.2133,24.6744,248.9369,26.4087,0.7318,16.1158,0.0,0.9485,40d7bd1ac517149fe25d0c5299d7e7ebb6c79b204f10d864f10ceed6333dd2e2,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241215_09_00.jpg,ryb_C1_20241215_09_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,236.7083,239.8578,245.3938,34.2533,32.0067,27.8771,239.314,32.0674,3.6901,10.802,0.0,0.8477,4325a19b8bf4b8d9464c71d30de25e8164cfa77b17ef0544f49b7e7a328db31a,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241215_10_00.jpg,ryb_C1_20241215_10_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.3818,248.4798,248.8657,29.8408,29.5869,28.0566,247.99,29.4789,0.8274,18.8302,0.0,0.9472,56c04bcf379d8fb1abe2f05c1c19d5e4421fd0fd56747b3109d7a5ff139ee079,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241215_11_00.jpg,ryb_C1_20241215_11_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.5829,249.7203,250.0031,26.1833,25.724,24.4077,249.207,25.6983,0.7288,15.3244,0.0,0.9504,d3bb6ad55efbf02580ae3c063746b841bb5c98020ea98ee9423e1928222f5cb5,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241215_12_00.jpg,ryb_C1_20241215_12_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.6489,249.7363,250.0477,25.857,25.6495,24.2194,249.2414,25.5326,0.7579,15.1739,0.0,0.9506,981ed94794068313a1dda984262a3b71e8f6be70498a6427691ee6db4073fe65,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241215_13_00.jpg,ryb_C1_20241215_13_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,249.4241,249.6031,249.7016,26.4719,26.2162,25.58,249.066,26.2002,0.8581,15.1847,0.0,0.9507,1fb7f81c595d738500dc913cdc7181413cbba10886b0e5b843d09276b1e4bc59,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241215_14_00.jpg,ryb_C1_20241215_14_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.7906,249.1189,249.5324,27.9442,27.2376,25.9604,248.5894,27.2858,1.0082,13.7051,0.0,0.95,fe30f54ce599626118f2e9e2fae34f0f2a8d1570c0d05f1a42ac49f205c91d2a,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241215_15_00.jpg,ryb_C1_20241215_15_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,246.6617,246.6337,247.1184,29.8611,29.864,28.6462,246.348,29.7123,1.9517,11.6393,0.0,0.9447,4bf07fa8aaf482e84ec84626fd7e60f3c0caf5dd000d671fa86e9377eb6ef759,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241215_16_00.jpg,ryb_C1_20241215_16_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,245.2579,245.595,246.7139,31.583,31.2785,29.6184,245.3208,31.1717,2.3335,13.6216,0.0,0.9402,bfb836e004bf13775e3d8adaec025d946ce2c7b361e3b5c4a1235ae861a6c013,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241216_10_00.jpg,ryb_C1_20241216_10_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,246.5631,246.9864,247.7521,34.1315,33.3663,31.0988,246.4692,33.3227,1.1806,26.8156,0.0,0.9401,fcb4d7a917b54bb6a4913d50b20a5831b2c530a107a4075e1947fd2bca6e0690,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241216_11_00.jpg,ryb_C1_20241216_11_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.1563,248.2822,248.6685,30.8134,30.3798,28.7446,247.7941,30.3117,0.8301,23.5808,0.0,0.9461,906bb14299128cd61045761511c537b5f62bd78b8060f1a886a219aba8a00058,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241216_12_00.jpg,ryb_C1_20241216_12_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.2948,248.3266,248.4735,30.1814,30.1183,29.1781,247.8402,30.0167,0.8687,22.8805,0.0,0.9456,f5995fc81bd2b5bb7b223454c6f392745179ea0a85543b6941e9dc9eb4409026,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241216_13_00.jpg,ryb_C1_20241216_13_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.2545,248.5008,248.5448,29.8705,29.4281,28.8676,247.9566,29.4774,1.0304,19.5678,0.0,0.947,b9804bd2e898a7f33ffa2f1e87e6a230e9e96838b00c1abd4fcf00348d2aef45,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241216_14_00.jpg,ryb_C1_20241216_14_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.18,248.3167,248.5628,29.9217,29.6536,28.6324,247.8353,29.6027,1.054,17.9072,0.0,0.9465,a49fdbda86d60c4ffbc5c81f951de1677abaa2ebbc56205471ffdde4551376b0,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241216_15_00.jpg,ryb_C1_20241216_15_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,245.1192,245.2825,246.0006,32.972,32.7699,31.4341,244.9711,32.6687,2.1509,16.0636,0.0,0.9375,a0fc76549e95a5df6d38b2857a39d5595fde5275e3a87545c038e41fcee54150,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241216_16_00.jpg,ryb_C1_20241216_16_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,240.6549,241.2823,243.3867,35.3444,34.99,33.0849,241.1934,34.8679,3.5889,18.2631,0.0,0.9131,c70a0b90c9d5e76bd0778e5e83d68c1cf08b395002544ba9d2576abfb852129d,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241216_17_00.jpg,ryb_C1_20241216_17_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,245.1229,245.7282,246.652,34.4156,33.9003,31.9649,245.2813,33.8176,1.9592,23.1679,0.0,0.941,11fe9060765da979a9336efa9e07e824cfbdffbcd2c459e7e8c666eecd551910,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241217_08_00.jpg,ryb_C1_20241217_08_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.9809,248.4541,248.9331,27.3349,29.3471,27.1884,248.1681,28.4858,0.8437,19.1818,0.0,0.943,03cd1436d30c250cb82efeb3abdef994880a5250ed12635a8971d0149a480de9,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241217_09_00.jpg,ryb_C1_20241217_09_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.4259,248.6475,248.6697,29.2295,28.598,28.0037,248.0915,28.7004,0.8147,24.505,0.0,0.9423,e1de14cadae82bcfaf9a7d3f7fdf8126dbd829334720a82864fbd88ec09774ac,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241217_10_00.jpg,ryb_C1_20241217_10_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.1726,248.2781,248.3624,30.1891,29.9628,29.1302,247.7602,29.9219,0.8231,25.0597,0.0,0.9422,fefa4eb80301a9a77241757a9dee7aeb4757540c0ec6d87accb19d3900c7e338,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241217_11_00.jpg,ryb_C1_20241217_11_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.7021,248.7908,248.8812,28.5995,28.2967,27.4759,248.2769,28.2791,0.796,21.8026,0.0,0.944,694065fd5570d5e72bcd3f3b04fc6af6133374e3b0c9ce6c20404da924461b7d,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241217_12_00.jpg,ryb_C1_20241217_12_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,247.472,247.6149,248.0219,32.301,31.9788,30.3719,247.1348,31.881,0.9642,27.4954,0.0,0.9422,a37f4aca21dfe7a2999e09a3518842e7089b300df6c899f1311eebc52818007e,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241217_13_00.jpg,ryb_C1_20241217_13_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,247.9706,248.2883,248.5108,30.3998,29.7857,28.9648,247.7443,29.8578,1.0962,22.4147,0.0,0.945,51881042606dcc4a9d3fa4a7e4356e15df0e38dba2b105f85e2ecc33ba51425e,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241217_14_00.jpg,ryb_C1_20241217_14_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,247.2847,247.3515,247.6215,32.1342,31.9927,30.8241,246.9055,31.8905,1.1644,24.5311,0.0,0.9428,223ff8a413c66fff4ebf176eed966a53d7b317b7f879331a6faec17ed528f9ce,train,public-reference-or-acquired
DS-090,dataset/acquisition/acquired/DS-090/Hemp_growth/C1/ryb_C1_20241217_15_00.jpg,ryb_C1_20241217_15_00.jpg,growth_time_series,DS-090|C1|growth_time_series,C1,dataset/acquisition/acquired/DS-090/Hemp_growth/C1,path-derived,whole-plant,273,552,0.4946,248.1063,248.1581,248.1172,30.3629,30.3042,29.6699,247.6605,30.2356,0.9731,24.0164,0.0,0.9436,688a5ca45ce6a165819b7fde7774a31b6b4c15a6687607b7697353cc988b7c0c,train,public-reference-or-acquired
